NAME                                                READY   STATUS    RESTARTS        AGE   IP             NODE                             NOMINATED NODE   READINESS GATES
eurotransit-inventory-6f94ffd594-6hnrf              1/1     Running             0               50m   10.244.1.32    aks-sysb2s-33819783-vmss00000s   <none>           <none>
eurotransit-orders-db-1                             1/1     Terminating         1 (5m31s ago)   54m   10.244.1.198   aks-sysb2s-33819783-vmss00000s   <none>           <none>
eurotransit-payments-c8dff8d54-fj5qx                1/1     Running             0               2m4s   10.244.1.93    aks-sysb2s-33819783-vmss00000s   <none>           <none>
eurotransit-inventory-6f94ffd594-6hnrf              1/1     Terminating         0               50m    10.244.1.32    aks-sysb2s-33819783-vmss00000s   <none>           <none>
eurotransit-kafka-dual-role-0                       1/1     Running             0               54m    10.244.1.236   aks-sysb2s-33819783-vmss00000s   <none>           <none>
eurotransit-payments-c8dff8d54-fj5qx                1/1     Terminating         0               2m4s   10.244.1.93    aks-sysb2s-33819783-vmss00000s   <none>           <none>
eurotransit-orders-d7dfb978b-tm77m                  1/1     Running             0               53m    10.244.1.21    aks-sysb2s-33819783-vmss00000s   <none>           <none>
eurotransit-kafka-dual-role-0                       1/1     Terminating         0               54m    10.244.1.236   aks-sysb2s-33819783-vmss00000s   <none>           <none>
eurotransit-orders-d7dfb978b-tm77m                  1/1     Terminating         0               53m    10.244.1.21    aks-sysb2s-33819783-vmss00000s   <none>           <none>
eurotransit-payments-c8dff8d54-nv4sk                0/1     Pending             0               0s     <none>         <none>                           <none>           <none>
eurotransit-inventory-6f94ffd594-d4z7r              0/1     Pending             0               0s     <none>         <none>                           <none>           <none>
eurotransit-payments-c8dff8d54-nv4sk                0/1     Pending             0               0s     <none>         <none>                           <none>           <none>
eurotransit-orders-db-1                             1/1     Terminating         1 (5m31s ago)   54m    10.244.1.198   aks-sysb2s-33819783-vmss00000s   <none>           <none>
eurotransit-inventory-6f94ffd594-d4z7r              0/1     Pending             0               0s     <none>         <none>                           <none>           <none>
eurotransit-inventory-6f94ffd594-6hnrf              1/1     Terminating         0               50m    10.244.1.32    aks-sysb2s-33819783-vmss00000s   <none>           <none>
eurotransit-kafka-dual-role-0                       1/1     Terminating         0               54m    10.244.1.236   aks-sysb2s-33819783-vmss00000s   <none>           <none>
eurotransit-orders-d7dfb978b-cwgg8                  0/1     Pending             0               0s     <none>         <none>                           <none>           <none>
eurotransit-catalog-7ddb546679-7f2w8                1/1     Running             0               55m    10.244.1.66    aks-sysb2s-33819783-vmss00000s   <none>           <none>
eurotransit-catalog-7ddb546679-7f2w8                1/1     Terminating         0               55m    10.244.1.66    aks-sysb2s-33819783-vmss00000s   <none>           <none>
eurotransit-orders-d7dfb978b-cwgg8                  0/1     Pending             0               0s     <none>         aks-sysb2s-33819783-vmss00000r   <none>           <none>
eurotransit-payments-c8dff8d54-fj5qx                1/1     Terminating         0               2m4s   10.244.1.93    aks-sysb2s-33819783-vmss00000s   <none>           <none>
eurotransit-orders-d7dfb978b-cwgg8                  0/1     ContainerCreating   0               0s     <none>         aks-sysb2s-33819783-vmss00000r   <none>           <none>
eurotransit-catalog-7ddb546679-tmhnj                0/1     Pending             0               0s     <none>         <none>                           <none>           <none>
eurotransit-frontend-78c4c556cb-8bkcq               1/1     Running             0               9h     10.244.1.44    aks-sysb2s-33819783-vmss00000s   <none>           <none>
eurotransit-frontend-78c4c556cb-8bkcq               1/1     Terminating         0               9h     10.244.1.44    aks-sysb2s-33819783-vmss00000s   <none>           <none>
eurotransit-catalog-7ddb546679-tmhnj                0/1     Pending             0               0s     <none>         aks-sysb2s-33819783-vmss00000t   <none>           <none>
eurotransit-orders-d7dfb978b-tm77m                  1/1     Terminating         0               53m    10.244.1.21    aks-sysb2s-33819783-vmss00000s   <none>           <none>
eurotransit-catalog-7ddb546679-7f2w8                1/1     Terminating         0               55m    10.244.1.66    aks-sysb2s-33819783-vmss00000s   <none>           <none>
eurotransit-frontend-78c4c556cb-8bkcq               1/1     Terminating         0               9h     10.244.1.44    aks-sysb2s-33819783-vmss00000s   <none>           <none>
eurotransit-frontend-78c4c556cb-rkzbw               0/1     Pending             0               0s     <none>         <none>                           <none>           <none>
eurotransit-frontend-78c4c556cb-rkzbw               0/1     Pending             0               0s     <none>         aks-sysb2s-33819783-vmss00000t   <none>           <none>
eurotransit-frontend-78c4c556cb-rkzbw               0/1     ContainerCreating   0               0s     <none>         aks-sysb2s-33819783-vmss00000t   <none>           <none>
eurotransit-catalog-7ddb546679-tmhnj                0/1     ContainerCreating   0               1s     <none>         aks-sysb2s-33819783-vmss00000t   <none>           <none>
eurotransit-orders-db-1                             0/1     Completed           1 (5m32s ago)   54m    10.244.1.198   aks-sysb2s-33819783-vmss00000s   <none>           <none>
eurotransit-frontend-78c4c556cb-8bkcq               0/1     Completed           0               9h     10.244.1.44    aks-sysb2s-33819783-vmss00000s   <none>           <none>
eurotransit-orders-d7dfb978b-cwgg8                  0/1     Running             0               1s     10.244.2.24    aks-sysb2s-33819783-vmss00000r   <none>           <none>
eurotransit-frontend-78c4c556cb-rkzbw               0/1     Running             0               2s     10.244.0.116   aks-sysb2s-33819783-vmss00000t   <none>           <none>
eurotransit-catalog-7ddb546679-tmhnj                0/1     Running             0               2s     10.244.0.90    aks-sysb2s-33819783-vmss00000t   <none>           <none>
eurotransit-orders-db-1                             0/1     Completed           1               54m    10.244.1.198   aks-sysb2s-33819783-vmss00000s   <none>           <none>
eurotransit-frontend-78c4c556cb-8bkcq               0/1     Completed           0               9h     10.244.1.44    aks-sysb2s-33819783-vmss00000s   <none>           <none>
eurotransit-frontend-78c4c556cb-8bkcq               0/1     Completed           0               9h     10.244.1.44    aks-sysb2s-33819783-vmss00000s   <none>           <none>
eurotransit-orders-db-1                             0/1     Completed           1               54m    10.244.1.198   aks-sysb2s-33819783-vmss00000s   <none>           <none>
eurotransit-orders-db-1                             0/1     Completed           1               54m    10.244.1.198   aks-sysb2s-33819783-vmss00000s   <none>           <none>
eurotransit-orders-db-1                             0/1     Pending             0               0s     <none>         <none>                           <none>           <none>
eurotransit-orders-db-1                             0/1     Pending             0               0s     <none>         <none>                           <none>           <none>
eurotransit-kafka-dual-role-0                       0/1     Completed           0               54m    10.244.1.236   aks-sysb2s-33819783-vmss00000s   <none>           <none>
eurotransit-kafka-dual-role-0                       0/1     Completed           0               54m    10.244.1.236   aks-sysb2s-33819783-vmss00000s   <none>           <none>
eurotransit-kafka-dual-role-0                       0/1     Completed           0               54m    10.244.1.236   aks-sysb2s-33819783-vmss00000s   <none>           <none>
eurotransit-frontend-78c4c556cb-rkzbw               0/1     Running             0               6s     10.244.0.116   aks-sysb2s-33819783-vmss00000t   <none>           <none>
eurotransit-frontend-78c4c556cb-rkzbw               1/1     Running             0               7s     10.244.0.116   aks-sysb2s-33819783-vmss00000t   <none>           <none>
eurotransit-payments-c8dff8d54-fj5qx                0/1     Error               0               2m11s   10.244.1.93    aks-sysb2s-33819783-vmss00000s   <none>           <none>
eurotransit-payments-c8dff8d54-nv4sk                0/1     Pending             0               7s      <none>         <none>                           <none>           <none>
eurotransit-inventory-6f94ffd594-6hnrf              0/1     Error               0               50m     10.244.1.32    aks-sysb2s-33819783-vmss00000s   <none>           <none>
eurotransit-inventory-6f94ffd594-d4z7r              0/1     Pending             0               8s      <none>         <none>                           <none>           <none>
